,park_name,park_type,capacity,que_status,cur_parking,cur_parking_time,available_parking,count,date,available_parking_less_than_zero
294882,도봉산역 공영주차장(시),NW,358,20분,343,2024-10-02 16:21:31,15,0,2024-10-02 16:20:00,13
294883,도봉산 공영주차장(시),NW,142,20분,107,2024-10-02 16:21:32,35,1,2024-10-02 16:20:00,72
294902,2001아울렛 중계점,BS,263,20분,192,2024-10-02 16:20:43,71,20,2024-10-02 16:20:00,29
294926,석계역 공영주차장(시),NW,70,20분,52,2024-10-02 16:22:11,18,44,2024-10-02 16:20:00,41
294931,송중동 공영주차장(구),NW,53,20분,48,2024-10-02 16:22:01,5,49,2024-10-02 16:20:00,71
294933,신세계 이마트미아점,BS,83,20분,113,2024-10-02 16:22:42,-30,51,2024-10-02 16:20:00,109
294948,녹색병원 주차장,BS,80,20분,82,2024-10-02 16:21:01,-2,66,2024-10-02 16:20:00,105
294959,장안1동 공영주차장(시),NW,71,20분,51,2024-10-02 16:22:52,20,77,2024-10-02 16:20:00,12
294992,종묘주차장 공영주차장(시),NW,1317,20분,1205,2024-10-02 16:23:31,112,108,2024-10-02 16:20:00,4
295024,신당역 공영주차장(구),NW,26,20분,26,2024-10-02 16:24:29,0,141,2024-10-02 16:20:00,27
295030,동대문 공영주차장(시),NW,1092,20분,246,2024-10-02 16:24:11,846,148,2024-10-02 16:20:00,3
295046,을지트윈타워 주차장,BS,542,20분,425,2024-10-02 16:25:03,117,162,2024-10-02 16:20:00,7
295053,파인에비뉴,BS,602,20분,605,2024-10-02 16:24:19,-3,171,2024-10-02 16:20:00,6
295074,왕십리 민자역사 비트플렉스몰 ,BS,1000,20분,635,2024-10-02 16:25:43,365,192,2024-10-02 16:20:00,28
295084,민속의 집 주차장(구),NW,26,20분,21,2024-10-02 16:25:55,5,202,2024-10-02 16:20:00,18
295099,동산 공영주차장(구),NW,83,20분,70,2024-10-02 16:17:19,13,217,2024-10-02 16:20:00,8
295113,이마트 명일점,BS,202,20분,262,2024-10-02 16:26:26,-60,230,2024-10-02 16:20:00,88
295116,어린이대공원(후문),BP,250,20분,154,2024-10-02 16:26:29,96,234,2024-10-02 16:20:00,34
295120,살곶이(평면) 공영주차장(구),NW,102,20분,90,2024-10-02 16:26:13,12,238,2024-10-02 16:20:00,89
295136,남산동 공영주차장(구),NW,48,20분,48,2024-10-02 16:26:05,0,254,2024-10-02 16:20:00,74
295148,서울글로벌센터 공영주차장(시),NW,44,20분,36,2024-10-02 16:26:51,8,265,2024-10-02 16:20:00,1
295152,신세계백화점 본점(신관),BS,498,20분,455,2024-10-02 16:27:17,43,269,2024-10-02 16:20:00,83
295155,지타워 주차장,BS,95,20분,91,2024-10-02 16:20:02,4,272,2024-10-02 16:20:00,61
295192,현대백화점 신촌점,BS,454,20분,267,2024-10-02 16:28:06,187,310,2024-10-02 16:20:00,94
295205,마포구청(마포구종합행정타운),BP,356,20분,393,2024-10-02 16:28:24,-37,323,2024-10-02 16:20:00,80
295213,망원2주차장[서울함공원옆],BP,229,20분,162,2024-10-02 16:27:59,67,331,2024-10-02 16:20:00,82
295216,"난지공원1, 2, 3주차장",BP,544,20분,5,2024-10-02 16:28:32,539,334,2024-10-02 16:20:00,41
295228,NC 강서점,BS,934,20분,558,2024-10-02 16:28:57,376,346,2024-10-02 16:20:00,14
295230,가양라이품 공영주차장(시),NW,38,20분,34,2024-10-02 16:28:51,4,348,2024-10-02 16:20:00,8
295242,김포국제공항 국내선 제2주차장,BP,1391,20분,1287,2024-10-02 16:29:08,104,360,2024-10-02 16:20:00,48
295245,김포국제공항 국내선 제1주차장,BP,2279,20분,2142,2024-10-02 16:29:00,137,363,2024-10-02 16:20:00,6
295258,망원1주차장[당산철교북단],BP,128,20분,95,2024-10-02 16:29:08,33,376,2024-10-02 16:20:00,193
295260,양화3주차장[양화선착장앞],BP,393,20분,137,2024-10-02 16:28:39,256,378,2024-10-02 16:20:00,36
295269,양화1주차장[당산철교 하부],BP,88,20분,65,2024-10-02 16:29:11,23,387,2024-10-02 16:20:00,41
295270,양화2주차장[전망카페],BP,20,20분,21,2024-10-02 16:29:32,-1,388,2024-10-02 16:20:00,62
295271,볏골공원 지하공영주차장(구),NW,231,20분,307,2024-10-02 16:29:40,-76,389,2024-10-02 16:20:00,361
295279,목동체비지 공영주차장(시),NW,55,20분,83,2024-10-02 16:29:31,-28,397,2024-10-02 16:20:00,288
295288,여의도한강2주차장(마포대교남단),BP,171,20분,210,2024-10-02 16:29:51,-39,406,2024-10-02 16:20:00,212
295291,여의도한강3주차장(서강대교남단),BP,800,20분,586,2024-10-02 16:29:19,214,409,2024-10-02 16:20:00,36
295295,영등포구청별관 공영주차장(구),NW,61,20분,39,2024-10-02 16:30:12,22,413,2024-10-02 16:20:00,6
295305,여의도한강4주차장(여의2교-하부파천교),BP,141,20분,64,2024-10-02 16:29:31,77,423,2024-10-02 16:20:00,18
295309,코레일유통 본사 사옥 주차장,BS,356,20분,323,2024-10-02 16:30:08,33,427,2024-10-02 16:20:00,32
295310,당산근린공원 공영(구),NW,190,20분,175,2024-10-02 16:30:05,15,428,2024-10-02 16:20:00,35
295322,여의도한강공원1주차장(63빌딩앞),BP,462,20분,395,2024-10-02 16:29:59,67,440,2024-10-02 16:20:00,54
295324,여의도 사학연금(TP타워),BS,570,20분,934,2024-10-02 16:30:40,-364,442,2024-10-02 16:20:00,214
295325,영남 공영주차장(시),NW,570,20분,402,2024-10-02 16:30:51,168,443,2024-10-02 16:20:00,19
295333,이촌1주차장[반포대교북단 하류],BP,35,20분,0,2024-10-02 16:30:50,35,451,2024-10-02 16:20:00,47
295334,동작대교 공영주차장(시),NW,88,20분,66,2024-10-02 16:30:51,22,452,2024-10-02 16:20:00,29
295335,이촌2주차장[동작대교 하부],BP,95,20분,68,2024-10-02 16:30:10,27,453,2024-10-02 16:20:00,85
295336,"이촌3, 4주차장",BP,257,20분,183,2024-10-02 16:30:14,74,454,2024-10-02 16:20:00,77
295337,여의도한강5주차장(성모병원앞),BP,217,20분,166,2024-10-02 16:30:14,51,455,2024-10-02 16:20:00,39
295339,신길환승(5호선)(구),NW,88,20분,70,2024-10-02 16:30:17,18,457,2024-10-02 16:20:00,73
295347,누리 공영주차장(구),NW,19,20분,15,2024-10-02 16:29:20,4,465,2024-10-02 16:20:00,40
295353,반포1주차장[반포대교남단 상류],BP,332,20분,270,2024-10-02 16:30:59,62,471,2024-10-02 16:20:00,111
295356,영등포본동제2공영(구),NW,61,20분,59,2024-10-02 16:30:47,2,474,2024-10-02 16:20:00,92
295360,"반포2, 3주차장",BP,315,20분,0,2024-10-02 16:31:22,315,478,2024-10-02 16:20:00,98
295366,도림동 공영주차장(구),NW,26,20분,23,2024-10-02 16:31:00,3,484,2024-10-02 16:20:00,62
295378,대림운동장(구),NW,192,20분,173,2024-10-02 16:31:32,19,497,2024-10-02 16:20:00,4
295379,구로5동마을공동주차장(구),NW,81,20분,65,2024-10-02 16:30:40,16,498,2024-10-02 16:20:00,63
295385,대림1동공영(구),NW,155,20분,136,2024-10-02 16:31:13,19,504,2024-10-02 16:20:00,20
295397,보라매상업 공영주차장(시),NW,64,20분,64,2024-10-02 16:32:11,0,516,2024-10-02 16:20:00,24
295410,구로디지털단지역(상) 공영주차장(시),NW,31,20분,18,2024-10-02 16:32:11,13,529,2024-10-02 16:20:00,25
295413,우림이비지센터,BS,511,20분,366,2024-10-02 16:32:40,145,532,2024-10-02 16:20:00,2
295435,디폴리스 주차장,BS,1044,20분,1031,2024-10-02 16:33:07,13,555,2024-10-02 16:20:00,27
295436,백상스타타워2차,BS,101,20분,105,2024-10-02 16:33:16,-4,556,2024-10-02 16:20:00,25
295438,사당노외 공영주차장(시),NW,183,20분,121,2024-10-02 16:32:51,62,558,2024-10-02 16:20:00,8
295441,stx V-TOWER 주차장,BS,533,20분,411,2024-10-02 16:33:20,122,561,2024-10-02 16:20:00,2
295446,에이스하이엔드3차 주차장,BS,300,20분,282,2024-10-02 16:33:19,18,566,2024-10-02 16:20:00,27
295450,세이브마트 신림본점 주차장,BS,77,20분,58,2024-10-02 16:32:14,19,570,2024-10-02 16:20:00,10
295472,구파발역 공영주차장(시),NW,399,20분,406,2024-10-02 16:33:31,-7,592,2024-10-02 16:20:00,29
295480,강서1주차장[개화나들목 앞],BP,53,20분,20,2024-10-02 16:33:59,33,600,2024-10-02 16:20:00,46
295481,국립현대미술관 서울관,BP,384,20분,215,2024-10-02 16:34:09,169,601,2024-10-02 16:20:00,9
295482,SBS프리즘 타워주차장,BS,196,20분,144,2024-10-02 16:32:41,52,602,2024-10-02 16:20:00,24
295487,트윈트리타워 주차장,BS,266,20분,171,2024-10-02 16:30:01,95,607,2024-10-02 16:20:00,7
295488,경복궁 주차장,BS,266,20분,154,2024-10-02 16:32:57,112,608,2024-10-02 16:20:00,79
295494,개화역 공영주차장(시),NW,483,20분,474,2024-10-02 16:34:11,9,614,2024-10-02 16:20:00,31
295501,어린이대공원(상상나라),BP,394,20분,217,2024-10-02 16:34:35,177,621,2024-10-02 16:20:00,11
295523,공유) 09-06(구),NW,18,20분,15,2024-10-02 16:29:17,3,643,2024-10-02 16:20:00,15
295528,천호1동 주차장(구),NW,188,20분,130,2024-10-02 16:35:09,58,648,2024-10-02 16:20:00,3
295529,"광나루1, 2주차장",BP,168,20분,317,2024-10-02 16:34:32,-149,649,2024-10-02 16:20:00,249
295530,천호유수지 주차장(구),NW,168,20분,93,2024-10-02 16:35:09,75,650,2024-10-02 16:20:00,6
295531,어린이대공원(구의문),BP,335,20분,194,2024-10-02 16:35:06,141,651,2024-10-02 16:20:00,38
295563,고분다리전통시장 주차장(구),NW,26,20분,26,2024-10-02 16:35:56,0,683,2024-10-02 16:20:00,28
295567,광나루3주차장[천호대교 하부],BP,191,20분,0,2024-10-02 16:35:12,191,687,2024-10-02 16:20:00,10
295579,무신사 E1,BS,70,20분,70,2024-10-02 16:36:11,0,699,2024-10-02 16:20:00,8
295589,메가박스 성수점,BS,230,20분,182,2024-10-02 16:33:20,48,708,2024-10-02 16:20:00,1
295594,강동성심병원[본관/웰빙센터 주차장],BS,128,20분,74,2024-10-02 16:35:02,54,714,2024-10-02 16:20:00,43
295603,풍납2(구),NW,81,20분,82,2024-10-02 16:31:05,-1,723,2024-10-02 16:20:00,83
295606,자양4동 공영주차장(구),NW,83,20분,78,2024-10-02 16:36:18,5,727,2024-10-02 16:20:00,106
295634,갤러리아백화점 명품관 WEST,BS,177,20분,223,2024-10-02 16:37:19,-46,755,2024-10-02 16:20:00,289
295646,"잠실1, 2, 3, 4주차장",BP,471,20분,699,2024-10-02 16:37:20,-228,767,2024-10-02 16:20:00,94
295668,롯데월드 주차장,BS,3051,20분,2159,2024-10-02 16:30:00,892,789,2024-10-02 16:20:00,1
295674,코엑스 주차장,BS,2123,20분,2214,2024-10-02 16:30:02,-91,795,2024-10-02 16:20:00,16
295681,뉴코아 강남점,BS,610,20분,438,2024-10-02 16:38:20,172,802,2024-10-02 16:20:00,5
295688,오토웨이타워 주차장,BS,338,20분,245,2024-10-02 16:30:01,93,809,2024-10-02 16:20:00,5
295700,헬리오시티상가 주차장,BS,466,20분,520,2024-10-02 16:30:01,-54,821,2024-10-02 16:20:00,28
295724,도곡로 327 공영주차장(구),NW,17,20분,21,2024-10-02 16:39:15,-4,845,2024-10-02 16:20:00,72
295741,한화생명 서초사옥(드림플러스),BS,128,20분,123,2024-10-02 16:39:08,5,862,2024-10-02 16:20:00,16
295755,일원역 공영주차장(시),NW,67,20분,42,2024-10-02 16:39:31,25,876,2024-10-02 16:40:00,76
295758,논현로32길15 공영주차장(구),NW,16,20분,11,2024-10-02 16:40:05,5,879,2024-10-02 16:40:00,14
295765,밤고개로21길 공영주차장(구),NW,109,20분,43,2024-10-02 16:40:11,66,886,2024-10-02 16:40:00,19
295773,언남문화체육센터 공영주차장(구),NW,190,20분,160,2024-10-02 16:40:11,30,894,2024-10-02 16:40:00,6
103391,도봉산역 공영주차장(시),NW,358,20분,335,2024-10-02 16:46:11,23,0,2024-10-02 16:40:00,13
103392,도봉산 공영주차장(시),NW,142,20분,98,2024-10-02 16:46:11,44,1,2024-10-02 16:40:00,72
103411,2001아울렛 중계점,BS,263,20분,179,2024-10-02 16:45:54,84,20,2024-10-02 16:40:00,29
103435,석계역 공영주차장(시),NW,70,20분,51,2024-10-02 16:46:51,19,44,2024-10-02 16:40:00,41
103440,송중동 공영주차장(구),NW,53,20분,51,2024-10-02 16:46:51,2,49,2024-10-02 16:40:00,71
103442,신세계 이마트미아점,BS,83,20분,98,2024-10-02 16:47:22,-15,51,2024-10-02 16:40:00,109
103457,녹색병원 주차장,BS,80,20분,81,2024-10-02 16:45:00,-1,66,2024-10-02 16:40:00,105
103468,장안1동 공영주차장(시),NW,71,20분,46,2024-10-02 16:47:31,25,77,2024-10-02 16:40:00,12
103501,종묘주차장 공영주차장(시),NW,1317,20분,1176,2024-10-02 16:48:11,141,108,2024-10-02 16:40:00,4
103533,신당역 공영주차장(구),NW,26,20분,24,2024-10-02 16:48:15,2,141,2024-10-02 16:40:00,27
103539,동대문 공영주차장(시),NW,1092,20분,240,2024-10-02 16:48:51,852,148,2024-10-02 16:40:00,3
103555,을지트윈타워 주차장,BS,542,20분,396,2024-10-02 16:49:32,146,162,2024-10-02 16:40:00,7
103562,파인에비뉴,BS,602,20분,595,2024-10-02 16:48:37,7,171,2024-10-02 16:40:00,6
103583,왕십리 민자역사 비트플렉스몰 ,BS,1000,20분,617,2024-10-02 16:50:07,383,192,2024-10-02 16:40:00,28
103593,민속의 집 주차장(구),NW,26,20분,19,2024-10-02 16:50:14,7,202,2024-10-02 16:40:00,18
103608,동산 공영주차장(구),NW,83,20분,69,2024-10-02 16:48:15,14,217,2024-10-02 16:40:00,8
103622,이마트 명일점,BS,202,20분,257,2024-10-02 16:50:56,-55,230,2024-10-02 16:40:00,88
103625,어린이대공원(후문),BP,250,20분,158,2024-10-02 16:50:58,92,234,2024-10-02 16:40:00,34
103629,살곶이(평면) 공영주차장(구),NW,102,20분,93,2024-10-02 16:49:59,9,238,2024-10-02 16:40:00,89
103645,남산동 공영주차장(구),NW,48,20분,43,2024-10-02 16:48:32,5,254,2024-10-02 16:40:00,74
103657,서울글로벌센터 공영주차장(시),NW,44,20분,36,2024-10-02 16:51:31,8,265,2024-10-02 16:40:00,1
103661,신세계백화점 본점(신관),BS,498,20분,410,2024-10-02 16:51:45,88,269,2024-10-02 16:40:00,83
103664,지타워 주차장,BS,95,20분,92,2024-10-02 16:50:02,3,272,2024-10-02 16:40:00,61
103701,현대백화점 신촌점,BS,454,20분,259,2024-10-02 16:52:08,195,310,2024-10-02 16:40:00,94
103714,마포구청(마포구종합행정타운),BP,356,20분,405,2024-10-02 16:52:55,-49,323,2024-10-02 16:40:00,80
103722,망원2주차장[서울함공원옆],BP,229,20분,151,2024-10-02 16:52:08,78,331,2024-10-02 16:40:00,82
103725,"난지공원1, 2, 3주차장",BP,544,20분,10,2024-10-02 16:52:44,534,334,2024-10-02 16:40:00,41
103737,NC 강서점,BS,934,20분,501,2024-10-02 16:53:18,433,346,2024-10-02 16:40:00,14
103739,가양라이품 공영주차장(시),NW,38,20분,32,2024-10-02 16:52:51,6,348,2024-10-02 16:40:00,8
103751,김포국제공항 국내선 제2주차장,BP,1391,20분,1290,2024-10-02 16:53:12,101,360,2024-10-02 16:40:00,48
103754,김포국제공항 국내선 제1주차장,BP,2279,20분,2151,2024-10-02 16:53:37,128,363,2024-10-02 16:40:00,6
103767,망원1주차장[당산철교북단],BP,128,20분,93,2024-10-02 16:53:19,35,376,2024-10-02 16:40:00,193
103769,양화3주차장[양화선착장앞],BP,393,20분,124,2024-10-02 16:53:51,269,378,2024-10-02 16:40:00,36
103778,양화1주차장[당산철교 하부],BP,88,20분,62,2024-10-02 16:53:22,26,387,2024-10-02 16:40:00,41
103779,양화2주차장[전망카페],BP,20,20분,24,2024-10-02 16:53:43,-4,388,2024-10-02 16:40:00,62
103780,볏골공원 지하공영주차장(구),NW,231,20분,302,2024-10-02 16:53:42,-71,389,2024-10-02 16:40:00,361
103788,목동체비지 공영주차장(시),NW,55,20분,81,2024-10-02 16:54:11,-26,397,2024-10-02 16:40:00,288
103797,여의도한강2주차장(마포대교남단),BP,171,20분,214,2024-10-02 16:54:02,-43,406,2024-10-02 16:40:00,212
103800,여의도한강3주차장(서강대교남단),BP,800,20분,571,2024-10-02 16:53:30,229,409,2024-10-02 16:40:00,36
103804,영등포구청별관 공영주차장(구),NW,61,20분,39,2024-10-02 16:54:33,22,413,2024-10-02 16:40:00,6
103814,여의도한강4주차장(여의2교-하부파천교),BP,141,20분,64,2024-10-02 16:54:41,77,423,2024-10-02 16:40:00,18
103818,코레일유통 본사 사옥 주차장,BS,356,20분,324,2024-10-02 16:54:32,32,427,2024-10-02 16:40:00,32
103819,당산근린공원 공영(구),NW,190,20분,177,2024-10-02 16:54:40,13,428,2024-10-02 16:40:00,35
103831,여의도한강공원1주차장(63빌딩앞),BP,462,20분,368,2024-10-02 16:55:11,94,440,2024-10-02 16:40:00,54
103833,여의도 사학연금(TP타워),BS,570,20분,909,2024-10-02 16:55:10,-339,442,2024-10-02 16:40:00,214
103834,영남 공영주차장(시),NW,570,20분,393,2024-10-02 16:54:51,177,443,2024-10-02 16:40:00,19
103842,이촌1주차장[반포대교북단 하류],BP,35,20분,0,2024-10-02 16:54:52,35,451,2024-10-02 16:40:00,47
103843,동작대교 공영주차장(시),NW,88,20분,44,2024-10-02 16:54:51,44,452,2024-10-02 16:40:00,29
103844,이촌2주차장[동작대교 하부],BP,95,20분,68,2024-10-02 16:55:21,27,453,2024-10-02 16:40:00,85
103845,"이촌3, 4주차장",BP,257,20분,183,2024-10-02 16:55:25,74,454,2024-10-02 16:40:00,77
103846,여의도한강5주차장(성모병원앞),BP,217,20분,153,2024-10-02 16:55:25,64,455,2024-10-02 16:40:00,39
103848,신길환승(5호선)(구),NW,88,20분,64,2024-10-02 16:55:14,24,457,2024-10-02 16:40:00,73
103856,누리 공영주차장(구),NW,19,20분,20,2024-10-02 16:54:19,-1,465,2024-10-02 16:40:00,40
103862,반포1주차장[반포대교남단 상류],BP,332,20분,275,2024-10-02 16:55:10,57,471,2024-10-02 16:40:00,111
103865,영등포본동제2공영(구),NW,61,20분,60,2024-10-02 16:55:47,1,474,2024-10-02 16:40:00,92
103869,"반포2, 3주차장",BP,315,20분,0,2024-10-02 16:55:37,315,478,2024-10-02 16:40:00,98
103875,도림동 공영주차장(구),NW,26,20분,27,2024-10-02 16:55:11,-1,484,2024-10-02 16:40:00,62
103887,대림운동장(구),NW,192,20분,169,2024-10-02 16:55:47,23,497,2024-10-02 16:40:00,4
103888,구로5동마을공동주차장(구),NW,81,20분,66,2024-10-02 16:54:40,15,498,2024-10-02 16:40:00,63
103894,대림1동공영(구),NW,155,20분,138,2024-10-02 16:55:38,17,504,2024-10-02 16:40:00,20
103906,보라매상업 공영주차장(시),NW,64,20분,62,2024-10-02 16:56:11,2,516,2024-10-02 16:40:00,24
103919,구로디지털단지역(상) 공영주차장(시),NW,31,20분,21,2024-10-02 16:56:51,10,529,2024-10-02 16:40:00,25
103922,우림이비지센터,BS,511,20분,355,2024-10-02 16:57:00,156,532,2024-10-02 16:40:00,2
103944,디폴리스 주차장,BS,1044,20분,1010,2024-10-02 16:57:26,34,555,2024-10-02 16:40:00,27
103945,백상스타타워2차,BS,101,20분,91,2024-10-02 16:57:27,10,556,2024-10-02 16:40:00,25
103947,사당노외 공영주차장(시),NW,183,20분,124,2024-10-02 16:57:31,59,558,2024-10-02 16:40:00,8
103950,stx V-TOWER 주차장,BS,533,20분,383,2024-10-02 16:57:29,150,561,2024-10-02 16:40:00,2
103955,에이스하이엔드3차 주차장,BS,300,20분,238,2024-10-02 16:57:39,62,566,2024-10-02 16:40:00,27
103959,세이브마트 신림본점 주차장,BS,77,20분,58,2024-10-02 16:57:23,19,570,2024-10-02 16:40:00,10
103981,구파발역 공영주차장(시),NW,399,20분,405,2024-10-02 16:58:11,-6,592,2024-10-02 16:40:00,29
103989,강서1주차장[개화나들목 앞],BP,53,20분,16,2024-10-02 16:58:09,37,600,2024-10-02 16:40:00,46
103990,국립현대미술관 서울관,BP,384,20분,190,2024-10-02 16:58:29,194,601,2024-10-02 16:40:00,9
103991,SBS프리즘 타워주차장,BS,196,20분,145,2024-10-02 16:58:20,51,602,2024-10-02 16:40:00,24
103996,트윈트리타워 주차장,BS,266,20분,170,2024-10-02 16:50:02,96,607,2024-10-02 16:40:00,7
103997,경복궁 주차장,BS,266,20분,134,2024-10-02 16:58:24,132,608,2024-10-02 16:40:00,79
104003,개화역 공영주차장(시),NW,483,20분,469,2024-10-02 16:58:11,14,614,2024-10-02 16:40:00,31
104010,어린이대공원(상상나라),BP,394,20분,200,2024-10-02 16:58:42,194,621,2024-10-02 16:40:00,11
104032,공유) 09-06(구),NW,18,20분,14,2024-10-02 16:59:16,4,643,2024-10-02 16:40:00,15
104037,천호1동 주차장(구),NW,188,20분,130,2024-10-02 16:59:17,58,648,2024-10-02 16:40:00,3
104038,"광나루1, 2주차장",BP,168,20분,318,2024-10-02 16:58:43,-150,649,2024-10-02 16:40:00,249
104039,천호유수지 주차장(구),NW,168,20분,92,2024-10-02 16:59:17,76,650,2024-10-02 16:40:00,6
104040,어린이대공원(구의문),BP,335,20분,184,2024-10-02 16:59:14,151,651,2024-10-02 16:40:00,38
104072,고분다리전통시장 주차장(구),NW,26,20분,25,2024-10-02 17:00:01,1,683,2024-10-02 17:00:00,28
104076,광나루3주차장[천호대교 하부],BP,191,20분,0,2024-10-02 16:59:21,191,687,2024-10-02 17:00:00,10
104088,무신사 E1,BS,70,20분,67,2024-10-02 16:59:29,3,699,2024-10-02 17:00:00,8
104098,메가박스 성수점,BS,230,20분,182,2024-10-02 16:58:45,48,708,2024-10-02 17:00:00,1
104103,강동성심병원[본관/웰빙센터 주차장],BS,128,20분,57,2024-10-02 16:58:59,71,714,2024-10-02 17:00:00,43
104112,풍납2(구),NW,81,20분,38,2024-10-02 17:00:00,43,723,2024-10-02 17:00:00,83
104115,자양4동 공영주차장(구),NW,83,20분,72,2024-10-02 17:00:38,11,727,2024-10-02 17:00:00,106
104143,갤러리아백화점 명품관 WEST,BS,177,20분,220,2024-10-02 17:01:38,-43,755,2024-10-02 17:00:00,289
104155,"잠실1, 2, 3, 4주차장",BP,471,20분,693,2024-10-02 17:01:32,-222,767,2024-10-02 17:00:00,94
104177,롯데월드 주차장,BS,3051,20분,2064,2024-10-02 17:00:00,987,789,2024-10-02 17:00:00,1
104183,코엑스 주차장,BS,2123,20분,2081,2024-10-02 17:00:02,42,795,2024-10-02 17:00:00,16
104190,뉴코아 강남점,BS,610,20분,423,2024-10-02 17:02:45,187,802,2024-10-02 17:00:00,5
104197,오토웨이타워 주차장,BS,338,20분,239,2024-10-02 17:00:02,99,809,2024-10-02 17:00:00,5
104209,헬리오시티상가 주차장,BS,466,20분,512,2024-10-02 17:00:02,-46,821,2024-10-02 17:00:00,28
104233,도곡로 327 공영주차장(구),NW,17,20분,21,2024-10-02 17:03:35,-4,845,2024-10-02 17:00:00,72
104250,한화생명 서초사옥(드림플러스),BS,128,20분,113,2024-10-02 17:02:52,15,862,2024-10-02 17:00:00,16
104264,일원역 공영주차장(시),NW,67,20분,38,2024-10-02 17:04:11,29,876,2024-10-02 17:00:00,76
104267,논현로32길15 공영주차장(구),NW,16,20분,10,2024-10-02 17:04:20,6,879,2024-10-02 17:00:00,14
104274,밤고개로21길 공영주차장(구),NW,109,20분,33,2024-10-02 17:04:25,76,886,2024-10-02 17:00:00,19
104282,언남문화체육센터 공영주차장(구),NW,190,20분,148,2024-10-02 17:04:31,42,894,2024-10-02 17:00:00,6
159122,도봉산역 공영주차장(시),NW,358,20분,333,2024-10-02 17:06:11,25,0,2024-10-02 17:00:00,13
159123,도봉산 공영주차장(시),NW,142,20분,88,2024-10-02 17:06:11,54,1,2024-10-02 17:00:00,72
159142,2001아울렛 중계점,BS,263,20분,184,2024-10-02 17:05:48,79,20,2024-10-02 17:00:00,29
159166,석계역 공영주차장(시),NW,70,20분,55,2024-10-02 17:06:51,15,44,2024-10-02 17:00:00,41
159171,송중동 공영주차장(구),NW,53,20분,47,2024-10-02 17:07:06,6,49,2024-10-02 17:00:00,71
159173,신세계 이마트미아점,BS,83,20분,93,2024-10-02 17:07:22,-10,51,2024-10-02 17:00:00,109
159188,녹색병원 주차장,BS,80,20분,82,2024-10-02 17:06:00,-2,66,2024-10-02 17:00:00,105
159199,장안1동 공영주차장(시),NW,71,20분,45,2024-10-02 17:07:31,26,77,2024-10-02 17:00:00,12
159232,종묘주차장 공영주차장(시),NW,1317,20분,1149,2024-10-02 17:08:11,168,108,2024-10-02 17:00:00,4
159264,신당역 공영주차장(구),NW,26,20분,25,2024-10-02 17:06:40,1,141,2024-10-02 17:00:00,27
159270,동대문 공영주차장(시),NW,1092,20분,227,2024-10-02 17:08:51,865,148,2024-10-02 17:00:00,3
159286,을지트윈타워 주차장,BS,542,20분,380,2024-10-02 17:09:39,162,162,2024-10-02 17:00:00,7
159293,파인에비뉴,BS,602,20분,589,2024-10-02 17:09:53,13,171,2024-10-02 17:00:00,6
159314,왕십리 민자역사 비트플렉스몰 ,BS,1000,20분,635,2024-10-02 17:10:22,365,192,2024-10-02 17:00:00,28
159324,민속의 집 주차장(구),NW,26,20분,26,2024-10-02 17:10:30,0,202,2024-10-02 17:00:00,18
159339,동산 공영주차장(구),NW,83,20분,67,2024-10-02 17:10:05,16,217,2024-10-02 17:00:00,8
159353,이마트 명일점,BS,202,20분,256,2024-10-02 17:11:06,-54,230,2024-10-02 17:00:00,88
159356,어린이대공원(후문),BP,250,20분,154,2024-10-02 17:11:14,96,234,2024-10-02 17:00:00,34
159360,살곶이(평면) 공영주차장(구),NW,102,20분,89,2024-10-02 17:11:01,13,238,2024-10-02 17:00:00,89
159376,남산동 공영주차장(구),NW,48,20분,44,2024-10-02 17:10:18,4,254,2024-10-02 17:00:00,74
159388,서울글로벌센터 공영주차장(시),NW,44,20분,36,2024-10-02 17:11:31,8,265,2024-10-02 17:00:00,1
159392,신세계백화점 본점(신관),BS,498,20분,363,2024-10-02 17:11:54,135,269,2024-10-02 17:00:00,83
159395,지타워 주차장,BS,95,20분,94,2024-10-02 17:10:01,1,272,2024-10-02 17:00:00,61
159432,현대백화점 신촌점,BS,454,20분,258,2024-10-02 17:12:18,196,310,2024-10-02 17:00:00,94
159445,마포구청(마포구종합행정타운),BP,356,20분,394,2024-10-02 17:13:01,-38,323,2024-10-02 17:00:00,80
159453,망원2주차장[서울함공원옆],BP,229,20분,146,2024-10-02 17:13:01,83,331,2024-10-02 17:00:00,82
159456,"난지공원1, 2, 3주차장",BP,544,20분,5,2024-10-02 17:13:08,539,334,2024-10-02 17:00:00,41
159468,NC 강서점,BS,934,20분,468,2024-10-02 17:13:21,466,346,2024-10-02 17:00:00,14
159470,가양라이품 공영주차장(시),NW,38,20분,33,2024-10-02 17:13:31,5,348,2024-10-02 17:00:00,8
159482,김포국제공항 국내선 제2주차장,BP,1391,20분,1260,2024-10-02 17:13:30,131,360,2024-10-02 17:00:00,48
159485,김포국제공항 국내선 제1주차장,BP,2279,20분,2134,2024-10-02 17:13:47,145,363,2024-10-02 17:00:00,6
159498,망원1주차장[당산철교북단],BP,128,20분,91,2024-10-02 17:13:37,37,376,2024-10-02 17:00:00,193
159500,양화3주차장[양화선착장앞],BP,393,20분,118,2024-10-02 17:14:11,275,378,2024-10-02 17:00:00,36
159509,양화1주차장[당산철교 하부],BP,88,20분,56,2024-10-02 17:13:40,32,387,2024-10-02 17:00:00,41
