park_name,capacity,cur_parking,cur_parking_time,available_parking,count,date,hour,day_of_week,is_weekend,park_type_BP,park_type_BS,park_type_NP,park_type_NS,park_type_NW,que_status_20분,que_status_2시간,que_status_2일,available_parking_less_than_zero
대륭테크노타운 20차,504,391,2024-10-02 16:33:44,113,580,2024-10-02 07:33:48,16,2,False,False,True,False,False,False,True,False,False,0
대륭테크노타운13차,156,144,2024-10-02 16:33:47,12,581,2024-10-02 07:33:50,16,2,False,False,True,False,False,False,True,False,False,0
우림라이온스밸리2차,467,92,2024-10-02 16:33:45,375,583,2024-10-02 07:33:52,16,2,False,False,True,False,False,False,True,False,False,0
금천 롯데타워 오피스텔,274,134,2024-10-02 16:33:02,140,585,2024-10-02 07:33:55,16,2,False,False,True,False,False,False,True,False,False,0
디지털엠파이어 주차장,298,253,2024-10-02 16:33:53,45,586,2024-10-02 07:33:57,16,2,False,False,True,False,False,False,True,False,False,0
롯데캐슬골드파크3차,830,421,2024-10-02 16:33:59,409,589,2024-10-02 07:34:00,16,2,False,False,True,False,False,False,True,False,False,0
금천 롯데 캐슬 4차,802,281,2024-10-02 16:33:37,521,588,2024-10-02 07:34:00,16,2,False,False,True,False,False,False,True,False,False,0
KT광명빌딩,88,25,2024-10-02 16:33:56,63,590,2024-10-02 07:34:01,16,2,False,False,True,False,False,False,True,False,False,0
홈플러스 시흥점,799,281,2024-10-02 16:33:59,518,591,2024-10-02 07:34:03,16,2,False,False,True,False,False,False,True,False,False,0
롯데몰 은평점 주차장,1514,996,2024-10-02 16:30:00,518,593,2024-10-02 07:34:06,16,2,False,False,True,False,False,False,True,False,False,0
한화생명 불광동사옥,217,104,2024-10-02 16:33:03,113,594,2024-10-02 07:34:06,16,2,False,False,True,False,False,False,True,False,False,0
이마트 은평점[은평이마트점],598,241,2024-10-02 16:34:07,357,597,2024-10-02 07:34:10,16,2,False,False,True,False,False,False,True,False,False,0
SBS프리즘 타워주차장,196,144,2024-10-02 16:32:41,52,602,2024-10-02 07:34:15,16,2,False,False,True,False,False,False,True,False,False,0
디디엠씨(DDMC) 주차장,715,490,2024-10-02 16:33:56,225,603,2024-10-02 07:34:17,16,2,False,False,True,False,False,False,True,False,False,0
엠비씨 씨앤아이 파크엠(MBC C&I PARK M),631,395,2024-10-02 16:34:02,236,604,2024-10-02 07:34:19,16,2,False,False,True,False,False,False,True,False,False,0
(주)우리기술 사옥,159,126,2024-10-02 16:33:15,33,605,2024-10-02 07:34:19,16,2,False,False,True,False,False,False,True,False,False,0
상암 더팬빌딩 주차장[마포 상암점],120,98,2024-10-02 16:34:18,22,605,2024-10-02 07:34:19,16,2,False,False,True,False,False,False,True,False,False,0
트윈트리타워 주차장,266,171,2024-10-02 16:30:01,95,607,2024-10-02 07:34:21,16,2,False,False,True,False,False,False,True,False,False,7
경복궁 주차장,266,154,2024-10-02 16:32:57,112,608,2024-10-02 07:34:23,16,2,False,False,True,False,False,False,True,False,False,23
케이트윈타워,402,345,2024-10-02 16:33:57,57,610,2024-10-02 07:34:25,16,2,False,False,True,False,False,False,True,False,False,0
다올빌딩,96,75,2024-10-02 16:34:31,21,616,2024-10-02 07:34:34,16,2,False,False,True,False,False,False,True,False,False,0
한국종합기술 사옥[강동첨단 2호점],300,285,2024-10-02 16:34:32,15,617,2024-10-02 07:34:36,16,2,False,False,True,False,False,False,True,False,False,0
빌리브인테라스,286,286,2024-10-02 16:34:57,0,652,2024-10-02 07:35:19,16,2,False,False,True,False,False,False,True,False,False,36
서울숲아이티밸리,300,229,2024-10-02 16:34:50,71,662,2024-10-02 07:35:34,16,2,False,False,True,False,False,False,True,False,False,0
팩토리얼 성수,154,70,2024-10-02 16:33:25,84,669,2024-10-02 07:35:42,16,2,False,False,True,False,False,False,True,False,False,0
누디트서울숲 주차장,122,86,2024-10-02 16:29:46,36,676,2024-10-02 07:35:52,16,2,False,False,True,False,False,False,True,False,False,0
갤러리아포레 더몰 상가 주차장,785,184,2024-10-02 16:35:36,601,677,2024-10-02 07:35:54,16,2,False,False,True,False,False,False,True,False,False,0
2001아울렛 천호점[천호아울렛점],296,155,2024-10-02 16:36:01,141,685,2024-10-02 07:36:03,16,2,False,False,True,False,False,False,True,False,False,0
건국대학교병원,659,346,2024-10-02 16:36:04,313,689,2024-10-02 07:36:10,16,2,False,False,True,False,False,False,True,False,False,0
연한빌딩,47,23,2024-10-02 16:36:00,24,690,2024-10-02 07:36:11,16,2,False,False,True,False,False,False,True,False,False,0
무신사 E1,70,70,2024-10-02 16:36:11,0,699,2024-10-02 07:36:22,16,2,False,False,True,False,False,False,True,False,False,3
메가박스 성수점,230,182,2024-10-02 16:33:20,48,708,2024-10-02 07:36:33,16,2,False,False,True,False,False,False,True,False,False,1
에피소드 성수101 주차장,48,48,2024-10-02 16:36:05,0,710,2024-10-02 07:36:35,16,2,False,False,True,False,False,False,True,False,False,66
강동성심병원[본관/웰빙센터 주차장],128,74,2024-10-02 16:35:02,54,714,2024-10-02 07:36:39,16,2,False,False,True,False,False,False,True,False,False,13
석탄공회관 주차장,14,11,2024-10-02 16:36:06,3,715,2024-10-02 07:36:40,16,2,False,False,True,False,False,False,True,False,False,82
강동웨딩KDW 본관주차장,157,117,2024-10-02 16:36:37,40,717,2024-10-02 07:36:42,16,2,False,False,True,False,False,False,True,False,False,0
프린스 주차장,17,11,2024-10-02 16:36:08,6,719,2024-10-02 07:36:45,16,2,False,False,True,False,False,False,True,False,False,76
현대백화점 천호점,699,368,2024-10-02 16:36:36,331,721,2024-10-02 07:36:48,16,2,False,False,True,False,False,False,True,False,False,0
신라빌딩[구의역 자양사거리점],18,17,2024-10-02 16:36:49,1,725,2024-10-02 07:36:53,16,2,False,False,True,False,False,False,True,False,False,0
LG전자베스트샵 건대입구점,18,18,2024-10-02 16:36:09,0,726,2024-10-02 07:36:55,16,2,False,False,True,False,False,False,True,False,False,104
성진강변스파랜드,139,0,2024-10-02 16:37:15,139,747,2024-10-02 07:37:18,16,2,False,False,True,False,False,False,True,False,False,0
와이엠프라젠스파,201,28,2024-10-02 16:37:16,173,748,2024-10-02 07:37:19,16,2,False,False,True,False,False,False,True,False,False,0
편안한요양병원[광진자양점],65,36,2024-10-02 16:37:17,29,749,2024-10-02 07:37:20,16,2,False,False,True,False,False,False,True,False,False,0
갤러리아백화점 명품관 EAST,197,71,2024-10-02 16:37:20,126,754,2024-10-02 07:37:27,16,2,False,False,True,False,False,False,True,False,False,0
갤러리아백화점 명품관 WEST,177,223,2024-10-02 16:37:19,-46,755,2024-10-02 07:37:29,16,2,False,False,True,False,False,False,True,False,False,86
현대백화점 압구정 본점,325,157,2024-10-02 16:34:01,168,758,2024-10-02 07:37:31,16,2,False,False,True,False,False,False,True,False,False,0
파티오나인지하주차장,100,49,2024-10-02 16:37:34,51,773,2024-10-02 07:37:51,16,2,False,False,True,False,False,False,True,False,False,71
파티오나인지상주차장,20,20,2024-10-02 16:37:34,0,773,2024-10-02 07:37:51,16,2,False,False,True,False,False,False,True,False,False,78
송파빌딩 주차장,70,16,2024-10-02 16:36:34,54,775,2024-10-02 07:37:54,16,2,False,False,True,False,False,False,True,False,False,0
롯데월드타워몰 주차장,2969,1578,2024-10-02 16:30:00,1391,778,2024-10-02 07:37:59,16,2,False,False,True,False,False,False,True,False,False,0
롯데캐슬골드,491,336,2024-10-02 16:37:32,155,779,2024-10-02 07:38:00,16,2,False,False,True,False,False,False,True,False,False,0
타워730 주차장,331,210,2024-10-02 16:37:56,121,781,2024-10-02 07:38:03,16,2,False,False,True,False,False,False,True,False,False,0
JBK타워 주차장,38,38,2024-10-02 16:37:24,0,782,2024-10-02 07:38:04,16,2,False,False,True,False,False,False,True,False,False,91
위워크 신사점 주차장,7,7,2024-10-02 16:37:23,0,788,2024-10-02 07:38:10,16,2,False,False,True,False,False,False,True,False,False,102
롯데월드 주차장,3051,2159,2024-10-02 16:30:00,892,789,2024-10-02 07:38:12,16,2,False,False,True,False,False,False,True,False,False,1
메디톡스사옥,84,63,2024-10-02 16:38:10,21,793,2024-10-02 07:38:15,16,2,False,False,True,False,False,False,True,False,False,0
코엑스 주차장,2123,2214,2024-10-02 16:30:02,-91,795,2024-10-02 07:38:16,16,2,False,False,True,False,False,False,True,False,False,1
현대백화점 무역점,594,481,2024-10-02 16:37:43,113,796,2024-10-02 07:38:17,16,2,False,False,True,False,False,False,True,False,False,0
호텔오크우드 주차장,454,330,2024-10-02 16:36:02,124,797,2024-10-02 07:38:19,16,2,False,False,True,False,False,False,True,False,False,0
화이트팜,12,12,2024-10-02 16:37:35,0,801,2024-10-02 07:38:23,16,2,False,False,True,False,False,False,True,False,False,97
뉴코아 강남점,610,438,2024-10-02 16:38:20,172,802,2024-10-02 07:38:24,16,2,False,False,True,False,False,False,True,False,False,5
오토웨이타워 주차장,338,245,2024-10-02 16:30:01,93,809,2024-10-02 07:38:35,16,2,False,False,True,False,False,False,True,False,False,0
브이플렉스 주차장,227,124,2024-10-02 16:30:01,103,810,2024-10-02 07:38:37,16,2,False,False,True,False,False,False,True,False,False,0
KT선릉타워,157,97,2024-10-02 16:38:36,60,812,2024-10-02 07:38:39,16,2,False,False,True,False,False,False,True,False,False,0
강남파이낸스프라자,92,36,2024-10-02 16:38:15,56,813,2024-10-02 07:38:41,16,2,False,False,True,False,False,False,True,False,False,0
